cache_misses,cache_load,cache_miss_ratio(%),dTLB_misses,dTLB_load,dTLB_miss_ratio(%),runtime(ms)
268.000000,74429.000000,0.36,26.000000,88.000000,29.55,0.030000
255.000000,71105.000000,0.36,3.000000,41.000000,7.32,0.015000
436.000000,73943.000000,0.59,5.000000,51.000000,9.80,0.033000
498.000000,74024.000000,0.67,2.000000,44.000000,4.55,0.012000
661.000000,74055.000000,0.89,3.000000,40.000000,7.50,0.044000
804.000000,74351.000000,1.08,3.000000,48.000000,6.25,0.039000
914.000000,73982.000000,1.24,3.000000,52.000000,5.77,0.041000
1077.000000,74496.000000,1.45,4.000000,44.000000,9.09,0.044000
1378.000000,74767.000000,1.84,3.000000,61.000000,4.92,0.038000
1635.000000,72372.000000,2.26,3.000000,54.000000,5.56,0.049000
1924.000000,75640.000000,2.54,4.000000,46.000000,8.70,0.033000
2238.000000,72911.000000,3.07,3.000000,56.000000,5.36,0.032000
2354.000000,75554.000000,3.12,4.000000,48.000000,8.33,0.032000
2579.000000,73442.000000,3.51,2.000000,53.000000,3.77,0.029000
2790.000000,73973.000000,3.77,5.000000,69.000000,7.25,0.029000
2701.000000,73528.000000,3.67,6.000000,69.000000,8.70,0.029000
2940.000000,75787.000000,3.88,3.000000,65.000000,4.62,0.030000
3005.000000,76536.000000,3.93,3.000000,69.000000,4.35,0.030000
3010.000000,76957.000000,3.91,5.000000,87.000000,5.75,0.030000
3061.000000,76881.000000,3.98,3.000000,67.000000,4.48,0.029000
2975.000000,73656.000000,4.04,3.000000,81.000000,3.70,0.029000
3055.000000,76570.000000,3.99,5.000000,77.000000,6.49,0.029000
3127.000000,76266.000000,4.10,5.000000,89.000000,5.62,0.030000
3180.000000,76902.000000,4.14,6.000000,99.000000,6.06,0.033000
3120.000000,73916.000000,4.22,4.000000,82.000000,4.88,0.030000
3110.000000,76480.000000,4.07,4.000000,70.000000,5.71,0.029000
3083.000000,73774.000000,4.18,3.000000,78.000000,3.85,0.029000
3297.000000,76695.000000,4.30,4.000000,105.000000,3.81,0.030000
3277.000000,76586.000000,4.28,7.000000,89.000000,7.87,0.030000
3146.000000,73876.000000,4.26,7.000000,94.000000,7.45,0.030000
3145.000000,73818.000000,4.26,6.000000,91.000000,6.59,0.032000
3163.000000,76972.000000,4.11,5.000000,95.000000,5.26,0.014000
3270.000000,76682.000000,4.26,5.000000,114.000000,4.39,0.013000
3126.000000,76418.000000,4.09,6.000000,99.000000,6.06,0.015000
3293.000000,76654.000000,4.30,5.000000,110.000000,4.55,0.014000
3064.000000,74198.000000,4.13,5.000000,102.000000,4.90,0.013000
3166.000000,76459.000000,4.14,3.000000,89.000000,3.37,0.040000
3157.000000,73966.000000,4.27,6.000000,108.000000,5.56,0.029000
3128.000000,76516.000000,4.09,5.000000,105.000000,4.76,0.013000
3280.000000,76687.000000,4.28,6.000000,108.000000,5.56,0.030000
3064.000000,74490.000000,4.11,8.000000,117.000000,6.84,0.036000
3201.000000,76792.000000,4.17,6.000000,116.000000,5.17,0.036000
3214.000000,76517.000000,4.20,7.000000,119.000000,5.88,0.035000
3233.000000,77167.000000,4.19,6.000000,100.000000,6.00,0.038000
3124.000000,73769.000000,4.23,8.000000,125.000000,6.40,0.034000
3028.000000,74163.000000,4.08,7.000000,129.000000,5.43,0.036000
2987.000000,73608.000000,4.06,9.000000,139.000000,6.47,0.044000
3347.000000,76869.000000,4.35,6.000000,155.000000,3.87,0.014000
3043.000000,76727.000000,3.97,8.000000,124.000000,6.45,0.014000
3076.000000,76294.000000,4.03,6.000000,132.000000,4.55,0.014000
3081.000000,73508.000000,4.19,8.000000,147.000000,5.44,0.032000
3125.000000,73988.000000,4.22,8.000000,154.000000,5.19,0.014000
3100.000000,76470.000000,4.05,6.000000,176.000000,3.41,0.014000
3065.000000,74160.000000,4.13,4.000000,141.000000,2.84,0.014000
3317.000000,76820.000000,4.32,9.000000,166.000000,5.42,0.014000
3097.000000,76363.000000,4.06,8.000000,160.000000,5.00,0.014000
3174.000000,76431.000000,4.15,5.000000,203.000000,2.46,0.014000
3258.000000,76879.000000,4.24,7.000000,319.000000,2.19,0.045000
3088.000000,76251.000000,4.05,11.000000,303.000000,3.63,0.033000
3139.000000,76917.000000,4.08,7.000000,335.000000,2.09,0.014000
2844.000000,73774.000000,3.86,7.000000,377.000000,1.86,0.038000
2997.000000,73714.000000,4.07,7.000000,333.000000,2.10,0.031000
3069.000000,76092.000000,4.03,9.000000,528.000000,1.70,0.034000
3148.000000,76143.000000,4.13,4.000000,505.000000,0.79,0.073000
3093.000000,75977.000000,4.07,4.000000,472.000000,0.85,0.034000
3090.000000,76741.000000,4.03,6.000000,525.000000,1.14,0.031000
3062.000000,76123.000000,4.02,10.000000,568.000000,1.76,0.048000
2933.000000,75786.000000,3.87,6.000000,521.000000,1.15,0.033000
3083.000000,73428.000000,4.20,7.000000,452.000000,1.55,0.033000
3072.000000,75895.000000,4.05,5.000000,488.000000,1.02,0.043000
3057.000000,73338.000000,4.17,7.000000,662.000000,1.06,0.034000
3054.000000,76742.000000,3.98,6.000000,656.000000,0.91,0.032000
3057.000000,76038.000000,4.02,6.000000,619.000000,0.97,0.033000
3007.000000,75927.000000,3.96,3.000000,631.000000,0.48,0.032000
3030.000000,76172.000000,3.98,11.000000,631.000000,1.74,0.033000
3050.000000,75953.000000,4.02,9.000000,693.000000,1.30,0.032000
3111.000000,76251.000000,4.08,7.000000,635.000000,1.10,0.034000
2995.000000,76424.000000,3.92,5.000000,725.000000,0.69,0.040000
3043.000000,76369.000000,3.98,5.000000,715.000000,0.70,0.031000
3024.000000,76470.000000,3.95,3.000000,779.000000,0.39,0.032000
2994.000000,74188.000000,4.04,6.000000,807.000000,0.74,0.033000
3076.000000,77212.000000,3.98,8.000000,749.000000,1.07,0.033000
2981.000000,76558.000000,3.89,9.000000,781.000000,1.15,0.089000
2975.000000,76095.000000,3.91,5.000000,841.000000,0.59,0.043000
3130.000000,76739.000000,4.08,9.000000,778.000000,1.16,0.082000
3039.000000,76522.000000,3.97,6.000000,921.000000,0.65,0.032000
2795.000000,73535.000000,3.80,5.000000,847.000000,0.59,0.015000
3005.000000,76517.000000,3.93,6.000000,787.000000,0.76,0.073000
3008.000000,76502.000000,3.93,8.000000,838.000000,0.95,0.033000
3066.000000,76372.000000,4.01,17.000000,1177.000000,1.44,0.046000
3019.000000,76424.000000,3.95,11.000000,871.000000,1.26,0.046000
3086.000000,76344.000000,4.04,9.000000,950.000000,0.95,0.054000
2796.000000,73037.000000,3.83,8.000000,980.000000,0.82,0.098000
3037.000000,76428.000000,3.97,8.000000,932.000000,0.86,0.038000
3073.000000,75939.000000,4.05,8.000000,973.000000,0.82,0.042000
3079.000000,76548.000000,4.02,13.000000,972.000000,1.34,0.038000
3164.000000,77178.000000,4.10,4.000000,1015.000000,0.39,0.052000
2880.000000,73457.000000,3.92,24.000000,1465.000000,1.64,0.026000
2950.000000,76092.000000,3.88,9.000000,1058.000000,0.85,0.043000
2889.000000,76231.000000,3.79,13.000000,1060.000000,1.23,0.066000
2879.000000,73264.000000,3.93,12.000000,1070.000000,1.12,0.041000
2936.000000,76636.000000,3.83,8.000000,987.000000,0.81,0.087000
3058.000000,76483.000000,4.00,4.000000,993.000000,0.40,0.038000
2998.000000,76600.000000,3.91,9.000000,1077.000000,0.84,0.033000
2957.000000,76427.000000,3.87,7.000000,1059.000000,0.66,0.043000
2767.000000,73910.000000,3.74,8.000000,1123.000000,0.71,0.039000
2908.000000,75869.000000,3.83,7.000000,1117.000000,0.63,0.054000
2796.000000,73220.000000,3.82,6.000000,1020.000000,0.59,0.042000
3085.000000,76382.000000,4.04,9.000000,1184.000000,0.76,0.110000
2946.000000,73335.000000,4.02,15.000000,1082.000000,1.39,0.111000
2802.000000,76315.000000,3.67,8.000000,1119.000000,0.71,0.069000
2929.000000,75982.000000,3.85,10.000000,1135.000000,0.88,0.067000
2929.000000,76686.000000,3.82,7.000000,1116.000000,0.63,0.093000
2877.000000,74168.000000,3.88,3.000000,1094.000000,0.27,0.039000
2857.000000,73852.000000,3.87,10.000000,1104.000000,0.91,0.070000
2928.000000,76374.000000,3.83,8.000000,1162.000000,0.69,0.057000
2919.000000,76668.000000,3.81,6.000000,1191.000000,0.50,0.033000
2797.000000,75761.000000,3.69,7.000000,1157.000000,0.61,0.050000
2942.000000,76044.000000,3.87,6.000000,1226.000000,0.49,0.050000
2905.000000,76370.000000,3.80,5.000000,1181.000000,0.42,0.043000
2981.000000,76677.000000,3.89,7.000000,1242.000000,0.56,0.015000
2778.000000,75972.000000,3.66,5.000000,1158.000000,0.43,0.042000
2929.000000,76795.000000,3.81,6.000000,1294.000000,0.46,0.033000
2902.000000,76334.000000,3.80,5.000000,1256.000000,0.40,0.032000
3003.000000,76638.000000,3.92,6.000000,1242.000000,0.48,0.053000
2920.000000,75835.000000,3.85,9.000000,1267.000000,0.71,0.049000
2818.000000,73058.000000,3.86,7.000000,1303.000000,0.54,0.042000
2935.000000,76627.000000,3.83,9.000000,1248.000000,0.72,0.039000
2969.000000,76692.000000,3.87,7.000000,1260.000000,0.56,0.039000
2844.000000,76431.000000,3.72,6.000000,1303.000000,0.46,0.038000
2731.000000,73168.000000,3.73,20.000000,1302.000000,1.54,0.024000
2873.000000,75764.000000,3.79,14.000000,1212.000000,1.16,0.041000
2846.000000,73234.000000,3.89,5.000000,1257.000000,0.40,0.041000
2762.000000,73749.000000,3.75,7.000000,1330.000000,0.53,0.039000
3045.000000,77119.000000,3.95,6.000000,1322.000000,0.45,0.033000
2811.000000,76443.000000,3.68,9.000000,1318.000000,0.68,0.033000
3086.000000,75401.000000,4.09,13.000000,1400.000000,0.93,0.034000
2932.000000,76154.000000,3.85,9.000000,1327.000000,0.68,0.017000
2853.000000,76120.000000,3.75,77.000000,1374.000000,5.60,0.044000
2848.000000,73628.000000,3.87,11.000000,1344.000000,0.82,0.052000
2936.000000,75884.000000,3.87,10.000000,1371.000000,0.73,0.053000
2866.000000,76405.000000,3.75,11.000000,1355.000000,0.81,0.053000
2981.000000,76584.000000,3.89,8.000000,1318.000000,0.61,0.016000
2932.000000,76576.000000,3.83,6.000000,1374.000000,0.44,0.015000
2790.000000,73494.000000,3.80,5.000000,1340.000000,0.37,0.015000
2896.000000,77146.000000,3.75,9.000000,1339.000000,0.67,0.042000
2888.000000,76533.000000,3.77,6.000000,1422.000000,0.42,0.016000
2883.000000,76297.000000,3.78,5.000000,1386.000000,0.36,0.015000
2845.000000,76345.000000,3.73,8.000000,1388.000000,0.58,0.015000
2700.000000,73457.000000,3.68,5.000000,1390.000000,0.36,0.029000
3155.000000,78109.000000,4.04,6.000000,1376.000000,0.44,0.015000
2716.000000,73277.000000,3.71,5.000000,1368.000000,0.37,0.015000
2935.000000,76326.000000,3.85,6.000000,1379.000000,0.44,0.016000
2970.000000,76525.000000,3.88,6.000000,1431.000000,0.42,0.037000
2851.000000,75887.000000,3.76,9.000000,1381.000000,0.65,0.021000
2755.000000,76358.000000,3.61,9.000000,1469.000000,0.61,0.039000
2825.000000,73798.000000,3.83,13.000000,1384.000000,0.94,0.033000
2786.000000,76258.000000,3.65,10.000000,1412.000000,0.71,0.073000
2733.000000,76322.000000,3.58,5.000000,1393.000000,0.36,0.040000
2851.000000,76299.000000,3.74,10.000000,1448.000000,0.69,0.040000
2748.000000,76167.000000,3.61,4.000000,1405.000000,0.28,0.015000
2739.000000,76016.000000,3.60,11.000000,1442.000000,0.76,0.046000
2934.000000,76195.000000,3.85,6.000000,1447.000000,0.41,0.015000
2838.000000,76587.000000,3.71,9.000000,1399.000000,0.64,0.016000
2874.000000,76105.000000,3.78,5.000000,1386.000000,0.36,0.016000
2671.000000,73468.000000,3.64,12.000000,1441.000000,0.83,0.016000
2898.000000,76207.000000,3.80,8.000000,1515.000000,0.53,0.016000
2822.000000,76010.000000,3.71,12.000000,1478.000000,0.81,0.016000
2710.000000,75990.000000,3.57,10.000000,1449.000000,0.69,0.015000
2832.000000,76645.000000,3.69,9.000000,1421.000000,0.63,0.017000
2738.000000,73570.000000,3.72,5.000000,1431.000000,0.35,0.016000
4950.000000,78379.000000,6.32,4.000000,1493.000000,0.27,0.016000
2909.000000,76693.000000,3.79,12.000000,1463.000000,0.82,0.061000
2871.000000,76886.000000,3.73,6.000000,1456.000000,0.41,0.034000
2828.000000,77063.000000,3.67,10.000000,1479.000000,0.68,0.085000
3771.000000,82571.000000,4.57,56.000000,1711.000000,3.27,0.076000
2725.000000,76448.000000,3.56,8.000000,1474.000000,0.54,0.062000
2976.000000,77156.000000,3.86,12.000000,1486.000000,0.81,0.052000
3435.000000,81516.000000,4.21,51.000000,1677.000000,3.04,0.213000
2762.000000,76312.000000,3.62,9.000000,1516.000000,0.59,0.040000
2843.000000,76335.000000,3.72,5.000000,1533.000000,0.33,0.033000
2802.000000,76665.000000,3.65,6.000000,1536.000000,0.39,0.016000
2732.000000,76236.000000,3.58,7.000000,1504.000000,0.47,0.016000
2848.000000,76332.000000,3.73,5.000000,1472.000000,0.34,0.031000
2831.000000,73723.000000,3.84,6.000000,1542.000000,0.39,0.016000
2788.000000,76614.000000,3.64,6.000000,1575.000000,0.38,0.017000
2763.000000,76272.000000,3.62,8.000000,1527.000000,0.52,0.016000
2829.000000,76393.000000,3.70,5.000000,1529.000000,0.33,0.016000
2809.000000,76442.000000,3.67,12.000000,1545.000000,0.78,0.016000
2896.000000,76410.000000,3.79,10.000000,1538.000000,0.65,0.068000
2914.000000,76377.000000,3.82,13.000000,1554.000000,0.84,0.015000
2844.000000,76153.000000,3.73,8.000000,1534.000000,0.52,0.016000
