Percentage of Write(%),Block Size(KiB),IOPS(k),Bandwidth Read/Write(MiB/s),Latency min (usec),Latency max (usec),Latency avg (usec),Bandwidth avg (KiB/s),CPU usr(%),CPU sys(%),IO Depth
0,4,145,566,4,855644,107.45,640704.47,9.5,85.41,16
0,4,146,572,5,811167,214.47,648174.26,10.59,86.82,32
0,16,35.7,557,41,970741,435.44,698989.61,4.34,85.41,16
0,16,36.6,571,17,995734,862.08,728422.49,4.26,84.97,32
0,32,18.7,586,31,946165,816.77,720216.94,2.81,87.79,16
0,32,18.5,577,67,907140,1697.74,727509.56,2.95,88.07,32
0,128,5.022,628,134,948879,3081.62,775799.69,2.07,88.02,16
0,128,4.878,610,112,970736,6463.73,761295.78,2.43,88.49,32
50,4,9.626,37.6,222,1273700,855.12,40550.23,3.77,37.49,16
50,4,9.896,38.7,74,1264300,1636.39,40905.9,4.34,38.05,32
50,16,6.885,108,104,821988,1167.1,120028.99,2.62,51.97,16
50,16,7.059,110,95,820300,2284.98,118731.7,2.88,51.87,32
50,32,4.589,143,566,715601,1729.18,157654.81,1.8,56.59,16
50,32,4.581,143,170,721430,3523.01,150297.39,1.95,55.79,32
50,128,1.871,234,253,658310,4231.11,249441.24,1.13,67.07,16
50,128,1.868,234,258,681267,8586.99,247411.11,1.36,67,32
70,4,9.787,38.2,74,1013200,1156.12,39772.36,3.25,29.49,16
70,4,10.3,40.4,97,1014100,2176.27,41658.1,3.28,30,32
70,16,7.826,122,93,669252,1424.69,127130.08,2.63,42.67,16
70,16,8.203,128,94,673365,2724.73,133314.47,2.54,43.86,32
70,32,5.68,178,232,610252,1952.66,184848.07,1.72,48.46,16
70,32,5.556,174,153,600298,4028.58,180508.6,1.79,47.79,32
70,128,2.409,301,837,534360,4591.02,313783.29,1.01,61.24,16
70,128,2.471,309,297,520901,9075.65,315861.61,1.17,61.39,32
100,4,9.966,38.9,100,287327,1599.57,39855.88,2.44,22.99,16
100,4,9.899,38.7,95,298563,3225.04,39591.58,2.13,22.99,32
100,16,8.056,126,126,275279,1977.95,128852.96,1.71,29.68,16
100,16,8.06,126,128,279827,3956.59,128912.97,1.76,29.66,32
100,32,6.325,198,143,270726,2517.14,202309.43,1.41,34.1,16
100,32,6.192,194,144,274660,5142.72,198026.06,1.53,35.2,32
100,128,2.816,352,323,267548,5640.14,360193.74,0.56,47.35,16
100,128,2.799,350,323,276970,11364.03,358249.72,0.69,47.48,32
